,company website,contact,,,,,website,mail done ,position,reply,
Scrobits,https://www.scrobits.com/,Contact form,,,,pune,https://www.scrobits.com/,,,,
Brainmine Web Solutions Private Limited,https://www.brainminetech.com/,"Look for ""Careers"" section or contact form",,,,pune,https://www.brainminetech.com/,,,,
Saeloun Technologies,https://saeloun.com/,"Look for ""Careers"" section or contact form",,,,pune,https://saeloun.com/,,,,
Compumatrix Technologies Pvt. Ltd.,https://compumatrix.in/,Contact form or info@compumatrix.in,,,,pune,https://compumatrix.in/,,,,
Primis Digital,https://primisdigital.com/,Contact form,,,,pune,https://primisdigital.com/,,,,
Blocsys,https://blocsys.com/,Contact form,,,,pune,https://blocsys.com/,,,,
Mundrisoft,https://mundrisoft.com/,"Look for ""Careers"" section or contact form",,,,pune,https://mundrisoft.com/,,,,
Codiastic Soft,https://codiasticsoft.com/,Contact form,,,,pune,https://codiasticsoft.com/,mail done ,for python devloper fresher,,
SynergyTop,https://synergytop.com/,"Look for ""Careers"" section or contact form",,,,pune,https://synergytop.com/,,,,
Robosoft Technologies,https://robosoft.com/,https://robosoft.com/careers,,,,pune,https://robosoft.com/,,,,
Clarion Technologies,https://www.clariontech.com/,https://www.clariontech.com/careers,,,,pune,https://www.clariontech.com/,,,,
Mobisoft Infotech,https://www.mobisoftinfotech.com/,https://www.mobisoftinfotech.com/careers/,,,,pune,https://www.mobisoftinfotech.com/,,,,
Wednesday Solutions,https://wednesday.is/,"Look for ""Careers"" section or contact form",,,,pune,https://wednesday.is/,,,,delay
Amberstudent,https://amberstudent.com/,https://amberstudent.com/careers,,,,pune,https://amberstudent.com/,,,,
Lentra,https://lentra.ai/,https://lentra.ai/careers/,,,,pune,https://lentra.ai/,mail done ,open,,
Xpressbees,https://www.xpressbees.com/,https://www.xpressbees.com/careers/,,,,pune,https://www.xpressbees.com/,,,,
Mindtickle,https://www.mindtickle.com/,https://www.mindtickle.com/company/careers/,,,,pune,https://www.mindtickle.com/,,,,
SailPoint,https://www.sailpoint.com/,https://www.sailpoint.com/careers/,,,,pune,https://www.sailpoint.com/,,,,worthy but time taking
GlobalLogic,https://www.globallogic.com/in/,https://www.globallogic.com/in/careers/,,,,pune,https://www.globallogic.com/in/,,,,worthy
Luxoft,https://www.luxoft.com/,https://www.luxoft.com/careers/,,,,pune,https://www.luxoft.com/,,,,worthy 
ITC Infotech,https://www.itcportal.com/itc-infotech/index.aspx,https://www.itcportal.com/itc-infotech/careers.aspx,,,,pune,https://www.itcportal.com/itc-infotech/index.aspx,,,,
Sungard Availability Services, India,https://www.sungardas.com/,Look for careers on main site,,,pune, India,,,,
Isobar World Services,https://www.isobar.com/ (now part of Dentsu International),Look for careers on Dentsu International site,,,,pune,https://www.isobar.com/ (now part of Dentsu International),,,,
Data Intelo,https://dataintelo.com/,Contact form or info@dataintelo.com,,,,pune,https://dataintelo.com/,,,,
Kodesoft Technologies,https://kodesofttechnologies.com/,Contact form or info@kodesofttechnologies.com,,,,pune,https://kodesofttechnologies.com/,,,,
Webkorps Services,https://webkorps.com/,Contact form or info@webkorps.com,,,,pune,https://webkorps.com/,,submit via website,,
Andro Buddy Technologies Pvt. Ltd.,https://androbuddies.com/,Contact form or info@androbuddies.com,,,,pune,https://androbuddies.com/,,,,
Pharoscion,https://pharoscion.com/,Contact form or info@pharoscion.com,,,,pune,https://pharoscion.com/,,mail done,,
Graphinet Solutions Pvt. Ltd.,https://graphinetsolutions.com/,Contact form or info@graphinetsolutions.com,,,,pune,https://graphinetsolutions.com/,,,,
Avail Advertising India Pvt Ltd.,https://availadvertising.com/,Contact form or info@availadvertising.com,,,,pune,https://availadvertising.com/,,,,
Prometteur Solutions PVT LTD,https://www.prometteursolutions.com/,Contact form or info@prometteursolutions.com,,,,pune,https://www.prometteursolutions.com/,,mail done,,
HoriZayn Digital,https://horizayn.com/,Contact form or info@horizayn.com,,,,pune,https://horizayn.com/,,,,
Finarkein Analytics,https://finarkein.com/,Contact form or info@finarkein.com,,,,pune,https://finarkein.com/,,,,
Bitmap Tech,https://www.bitmaptech.com/,Contact form or info@bitmaptech.com,,,,pune,https://www.bitmaptech.com/,,,,
Promact,https://promactinfo.com/,"Look for ""Careers"" or Contact form",,,,pune,https://promactinfo.com/,,,,
Chamberlain Group,https://www.chamberlain.com/,"Look for ""Careers"" or Jobs page",,,,pune,https://www.chamberlain.com/,,,,
Sankey Solutions,https://sankeysolutions.com/,https://sankeysolutions.com/careers,,,,pune,https://sankeysolutions.com/,,mail on website,,
Quick Heal Technologies,https://www.quickheal.com/,https://www.quickheal.com/careers/,,,,pune,https://www.quickheal.com/,,,,
e-Zest Solutions,https://www.e-zest.com/,https://www.e-zest.com/careers,,,,pune,https://www.e-zest.com/,,,,
Mihir Systems,https://mihir.com/,Contact form or info@mihir.com,,,,pune,https://mihir.com/,,,,
Nitor Infotech,https://nitorinfotech.com/,https://nitorinfotech.com/careers/,,,,pune,https://nitorinfotech.com/,,,,
SoftLink International Pvt. Ltd.,https://www.softlinkinternational.com/,Contact form or careers@softlinkinternational.com,,,,pune,https://www.softlinkinternational.com/,good,,,
Sarjen Systems Pvt. Ltd.,https://www.sarjensystems.com/,"Look for ""Careers"" section",,,,pune,https://www.sarjensystems.com/,,,,
eInfochips (an Arrow Company),https://www.einfochips.com/,https://www.einfochips.com/company/careers/,,,,pune,https://www.einfochips.com/,,,,
Seed Infotech,https://www.seedinfotech.com/,https://www.seedinfotech.com/careers/,,,,pune,https://www.seedinfotech.com/,bad,,,
ValueLabs,https://www.valuelabs.com/,https://www.valuelabs.com/careers/,,,,pune,https://www.valuelabs.com/,,,,
RutuSoft,https://rutusoft.com/,Contact form or info@rutusoft.com,,,,pune,https://rutusoft.com/,bad,,,
Suma Soft Pvt. Ltd.,https://www.sumasoft.com/,https://www.sumasoft.com/careers/,,,,pune,https://www.sumasoft.com/,,,,
Trigyn Technologies,https://www.trigyn.com/,https://www.trigyn.com/careers/,,,,pune,https://www.trigyn.com/,,,,
TechVedika,https://www.techvedika.com/,https://www.techvedika.com/careers/,,,,pune,https://www.techvedika.com/,,,,
Torry Harris Business Solutions,https://www.thbs.com/,https://www.thbs.com/careers,,,,pune,https://www.thbs.com/,bad,,,
Vertoz Advertising Ltd.,https://www.vertoz.com/,https://www.vertoz.com/careers/,,,,pune,https://www.vertoz.com/,,next day apply,,
Webfosys Group,https://webfosys.com/,Contact form or info@webfosys.com,,,,pune,https://webfosys.com/,bad,,,
Winjit Technologies,https://www.winjit.com/,https://www.winjit.com/careers,,,,pune,https://www.winjit.com/,,,,
Zenith Infotech,http://www.zenithinfotech.com/,Contact form or info@zenithinfotech.com,,,,pune,http://www.zenithinfotech.com/,bad,,,
Hexaware Technologies,https://hexaware.com/,https://hexaware.com/careers/,,,,pune,https://hexaware.com/,good,,,
Coforge,https://www.coforge.com/,https://www.coforge.com/careers,,,,pune,https://www.coforge.com/,,applied for graduate trainr program,,
Infrasoft Technologies,https://www.infrasofttech.com/,https://www.infrasofttech.com/careers/,,,,pune,https://www.infrasofttech.com/,,,,
Mphasis,https://www.mphasis.com/,https://www.mphasis.com/careers.html,,,,pune,https://www.mphasis.com/,,,,
Quinnox,https://www.quinnox.com/,https://www.quinnox.com/careers,,,,pune,https://www.quinnox.com/,,,,
Sonata Software,https://www.sonata-software.com/,https://www.sonata-software.com/careers/,,,,pune,https://www.sonata-software.com/,,,,
Subex,https://subex.com/,https://subex.com/careers/,,,,pune,https://subex.com/,good,apply next day,,
Integra Micro Systems,https://www.integramicro.com/,https://www.integramicro.com/careers/,,,,pune,https://www.integramicro.com/,,,,
Softcell Technologies Global Pvt. Ltd.,https://www.softcell.com/,https://www.softcell.com/careers/,,,,pune,https://www.softcell.com/,,,,
Veritas Technologies,https://www.veritas.com/,https://www.veritas.com/careers,,,,pune,https://www.veritas.com/,,,,
Commvault,https://www.commvault.com/,https://www.commvault.com/careers,,,,pune,https://www.commvault.com/,,,,
ServiceNow,https://www.servicenow.com/,https://careers.servicenow.com/,,,,pune,https://www.servicenow.com/,bad,,,
Google India (Pune office focuses on specific areas),https://about.google/locations/pune/,https://careers.google.com/,,,,pune,https://about.google/locations/pune/,,,,
Amazon India (Pune office for certain operations),https://www.amazon.in/,https://www.amazon.jobs/,,,,pune,https://www.amazon.in/,,,,
Simplilearn,https://www.simplilearn.com/,https://www.simplilearn.com/careers,,,,pune,https://www.simplilearn.com/,,,,
Byju's (Tech team presence),https://byjus.com/,https://byjus.com/careers/,,,,pune,https://byjus.com/,,,,
TATA Motors (IT/Digital division),https://www.tatamotors.com/,"Look for ""Careers"" on their main site",,,,pune,https://www.tatamotors.com/,,,,
Bajaj Finserv (IT/Digital team),https://www.bajajfinserv.in/,"Look for ""Careers"" on their main site",,,,pune,https://www.bajajfinserv.in/,,,,
L&T Technology Services,https://www.ltts.com/,https://www.ltts.com/careers,,,,pune,https://www.ltts.com/,,,,
KPIT Cummins (now KPIT),[suspicious link removed],,,,,pune,[suspicious link removed],,,,
Mphasis,https://www.mphasis.com/,https://www.mphasis.com/careers.html,,,,pune,https://www.mphasis.com/,,,,
Nagarro,https://www.nagarro.com/,https://www.nagarro.com/en/careers,,,,pune,https://www.nagarro.com/,,,,
Nelito Systems,https://www.nelito.com/,https://www.nelito.com/careers,,,,pune,https://www.nelito.com/,,,,
Nucleus Software,https://www.nucleussoftware.com/,https://www.nucleussoftware.com/careers,,,,pune,https://www.nucleussoftware.com/,,,,
Rolta India,https://www.rolta.com/,https://www.rolta.com/careers/,,,,pune,https://www.rolta.com/,,,,
Symphony Technology Group (STG),https://www.symphonytech.com/,Check individual portfolio companies for careers,,,,pune,https://www.symphonytech.com/,,,,
Tekizma Inc.,https://www.tekizma.com/,Contact form,,,,pune,https://www.tekizma.com/,,,,
TrellisSoft,https://www.trellissoft.com/,Contact form,,,,pune,https://www.trellissoft.com/,,,,
Verve Logic,https://vervelogic.com/,https://vervelogic.com/career/,,,,pune,https://vervelogic.com/,,,,
Webenza,https://webenza.com/,Contact form,,,,pune,https://webenza.com/,,,,
Xoriant,https://www.xoriant.com/,https://www.xoriant.com/careers,,,,pune,https://www.xoriant.com/,,,,
Zentree Labs,https://zentreelabs.com/,Contact form,,,,pune,https://zentreelabs.com/,,,,
Annalect (part of Omnicom Media Group),https://www.annalect.com/,https://www.annalect.com/careers,,,,pune,https://www.annalect.com/,,,,
Artech Infosystems,https://www.artechinfo.com/,https://www.artechinfo.com/careers,,,,pune,https://www.artechinfo.com/,,,,
BOSC Tech,https://bosc.in/,Contact form or info@bosc.in,,,,pune,https://bosc.in/,,,,
CGI (Pune office),https://www.cgi.com/india/en-in,https://www.cgi.com/india/en-in/careers,,,,pune,https://www.cgi.com/india/en-in,,,,
Collabera,https://www.collabera.com/,https://www.collabera.com/career/,,,,pune,https://www.collabera.com/,,,,
Data Bridge Market Research,https://www.databridgemarketresearch.com/,Contact form or info@databridgemarketresearch.com,,,,pune,https://www.databridgemarketresearch.com/,,,,
DigiLantern,https://digilantern.com/,Contact form or info@digilantern.com,,,,pune,https://digilantern.com/,,,,
Emtec Digital,https://www.emtec.digital/,https://www.emtec.digital/careers,,,,pune,https://www.emtec.digital/,,,,
EXL Service,https://www.exlservice.com/,https://www.exlservice.com/careers,,,,pune,https://www.exlservice.com/,,,,
Extron,https://www.extron.com/,https://www.extron.com/company/careers,,,,pune,https://www.extron.com/,,,,
Fiserv,https://www.fiserv.com/,https://careers.fiserv.com/,,,,pune,https://www.fiserv.com/,,,,
Globant,https://www.globant.com/,https://www.globant.com/careers,,,,pune,https://www.globant.com/,,,,
Great Learning,https://www.greatlearning.in/,https://www.greatlearning.in/careers,,,,pune,https://www.greatlearning.in/,,,,
HighRadius,https://www.highradius.com/,https://www.highradius.com/careers,,,,pune,https://www.highradius.com/,,,,
Icertis,https://www.icertis.com/,https://www.icertis.com/careers,,,,pune,https://www.icertis.com/,,,,
Incture Technologies,https://incture.com/,https://incture.com/careers/,,,,pune,https://incture.com/,,,,
Infosys BPM,https://www.infosysbpm.com/,https://www.infosysbpm.com/careers.html,,,,pune,https://www.infosysbpm.com/,,,,
Infor,https://www.infor.com/,https://www.infor.com/about/careers,,,,pune,https://www.infor.com/,,,,
Intellect Design Arena,https://www.intellectdesign.com/,https://www.intellectdesign.com/careers/,,,,pune,https://www.intellectdesign.com/,,,,
Interactive Brokers,https://www.interactivebrokers.com/en/index.php,https://www.interactivebrokers.com/en/index.php?f=1454&p=careers,,,,pune,https://www.interactivebrokers.com/en/index.php,,,,
Internet Marketing Company (IMC),https://www.internetmarketingco.com/,Contact form,,,,pune,https://www.internetmarketingco.com/,,,,
iSource IT,https://isourceit.com/,Contact form,,,,pune,https://isourceit.com/,,,,
ITC Infotech (re-add for completeness),https://www.itcportal.com/itc-infotech/index.aspx,https://www.itcportal.com/itc-infotech/careers.aspx,,,,pune,https://www.itcportal.com/itc-infotech/index.aspx,,,,
Jade Global,https://www.jadeglobal.com/,https://www.jadeglobal.com/careers/,,,,pune,https://www.jadeglobal.com/,,,,
Jazz by HMD Global,https://www.hmdglobal.com/,Look for careers section on HMD Global site,,,,pune,https://www.hmdglobal.com/,,,,
Kaar Technologies,https://www.kaartech.com/,https://www.kaartech.com/careers/,,,,pune,https://www.kaartech.com/,,,,
KPMG Global Services (IT/Advisory),https://kpmg.com/in/en/home.html,https://kpmg.com/in/en/home/careers.html,,,,pune,https://kpmg.com/in/en/home.html,,,,
Lam Research,https://www.lamresearch.com/,https://www.lamresearch.com/careers,,,,pune,https://www.lamresearch.com/,,,,
Mastek,https://www.mastek.com/,https://www.mastek.com/careers/,,,,pune,https://www.mastek.com/,,,,
Maven Wave Partners (part of Atos),https://www.mavenwave.com/,Check Atos careers,,,,pune,https://www.mavenwave.com/,,,,
Meritech,https://www.meritech.in/,Contact form or info@meritech.in,,,,pune,https://www.meritech.in/,,,,
Mindtree (now LTIMindtree),https://www.ltimindtree.com/,https://www.ltimindtree.com/careers/,,,,pune,https://www.ltimindtree.com/,,,,
Miracle Software Systems,https://www.miraclesoft.com/,https://www.miraclesoft.com/careers,,,,pune,https://www.miraclesoft.com/,,,,
Mondelez International (IT GSC),https://www.mondelezinternational.com/,Look for careers on their global site,,,,pune,https://www.mondelezinternational.com/,,,,
NetCracker Technology,https://www.netcracker.com/,https://www.netcracker.com/careers/,,,,pune,https://www.netcracker.com/,,,,
Netwin Infosolutions,https://www.netwinindia.com/,Contact form or info@netwinindia.com,,,,pune,https://www.netwinindia.com/,,,,
Nihilent Technologies,https://www.nihilent.com/,https://www.nihilent.com/careers/,,,,pune,https://www.nihilent.com/,,,,
Nityo Infotech,https://nityo.com/,https://nityo.com/careers/,,,,pune,https://nityo.com/,,,,
Oceaneering International,https://www.oceaneering.com/,https://www.oceaneering.com/careers,,,,pune,https://www.oceaneering.com/,,,,
OFSS (Oracle Financial Services Software),https://www.oracle.com/industries/financial-services/oracle-fss/index.html,Look for careers on Oracle's site or OFSS direct,,,,pune,https://www.oracle.com/industries/financial-services/oracle-fss/index.html,,,,
Perficient,https://www.perficient.com/,https://www.perficient.com/careers/,,,,pune,https://www.perficient.com/,,,,
Persistent Systems (re-add for completeness),https://www.persistent.com/,https://www.persistent.com/careers/,,,,pune,https://www.persistent.com/,,,,
PwC India (IT/Consulting),https://www.pwc.in/,https://www.pwc.in/careers.html,,,,pune,https://www.pwc.in/,,,,
Quantiphi,https://quantiphi.com/,https://quantiphi.com/careers/,,,,pune,https://quantiphi.com/,,,,
QuEST Global,https://www.quest-global.com/,https://www.quest-global.com/careers/,,,,pune,https://www.quest-global.com/,,,,
R Systems International,https://www.rsystems.com/,https://www.rsystems.com/careers/,,,,pune,https://www.rsystems.com/,,,,
Red Hat,https://www.redhat.com/en/global/india,https://careers.redhat.com/,,,,pune,https://www.redhat.com/en/global/india,,,,
Reverie Language Technologies,https://reverieinc.com/,Contact form,,,,pune,https://reverieinc.com/,,,,
Rikun IT Services,https://rikunitservices.com/,Contact form or info@rikunitservices.com,,,,pune,https://rikunitservices.com/,,,,
Rockwell Automation,https://www.rockwellautomation.com/en-in.html,https://www.rockwellautomation.com/en-in/company/careers.html,,,,pune,https://www.rockwellautomation.com/en-in.html,,,,
Sage Software Solutions,https://www.sagesoftware.co.in/,https://www.sagesoftware.co.in/company/careers/,,,,pune,https://www.sagesoftware.co.in/,,,,
SAS Institute,https://www.sas.com/en_in/home.html,https://www.sas.com/en_us/careers.html,,,,pune,https://www.sas.com/en_in/home.html,,,,
Sasken Technologies,https://www.sasken.com/,https://www.sasken.com/careers,,,,pune,https://www.sasken.com/,,,,
Softenger,https://www.softenger.com/,Contact form or info@softenger.com,,,,pune,https://www.softenger.com/,,,,
Steria (now part of Sopra Steria),https://www.soprasteria.com/india,https://www.soprasteria.com/india/careers,,,,pune,https://www.soprasteria.com/india,,,,
Sungard (now FIS - for some parts),https://www.fisglobal.com/,https://careers.fisglobal.com/,,,,pune,https://www.fisglobal.com/,,,,
TATA Technologies,https://www.tatatechnologies.com/,https://www.tatatechnologies.com/careers/,,,,pune,https://www.tatatechnologies.com/,,,,
Tech Mahindra (re-add for completeness),https://www.techmahindra.com/,https://www.techmahindra.com/en-in/careers/,,,,pune,https://www.techmahindra.com/,,,,
Torry Harris Business Solutions (re-add),https://www.thbs.com/,https://www.thbs.com/careers,,,,pune,https://www.thbs.com/,,,,
ValueLabs (re-add),https://www.valuelabs.com/,https://www.valuelabs.com/careers/,,,,pune,https://www.valuelabs.com/,,,,
Virtusa,https://www.virtusa.com/,https://www.virtusa.com/careers/,,,,pune,https://www.virtusa.com/,,,,
WNS Global Services (re-add for completeness),https://www.wns.com/,https://www.wns.com/careers,,,,pune,https://www.wns.com/,,,,
Yash Technologies,https://www.yash.com/,https://www.yash.com/careers,,,,pune,https://www.yash.com/,,,,
Zensar Technologies (re-add for completeness),https://www.zensar.com/,https://www.zensar.com/careers,,,,pune,https://www.zensar.com/,,,,
